Location,longitude,latitude,Date,location elevation,bike elevation,run elevation,max_temperature,min_temperature,swim_water_temperature,duw_point,relative_humidity,average_wind_speed,average_sea-level_air_pressure,one_hour_sunshine ,Unnamed: 15,Wet-Bulb_Globe_Temperature
"Kona, Hawaii, USA",-155.9966428,19.6472213,10/10/2015,40,384.0,61.0,,,,,,,,,,
"Kona, Hawaii, USA",-155.9966428,19.6472213,10/12/2019,40,384.0,61.0,,,,,,,,,,
"Kona, Hawaii, USA",-155.9966428,19.6472213,10/13/2018,40,384.0,61.0,,,,,,,,,,
"Kona, Hawaii, USA",-155.9966428,19.6472213,10/14/2017,40,384.0,61.0,,,,,,,,,,
"Kona, Hawaii, USA",-155.9966428,19.6472213,10/14/2023,40,384.0,61.0,,,,,,,,,,
"Kona, Hawaii, USA",-155.9966428,19.6472213,10/6/2022,40,384.0,61.0,,,,,,,,,,
"Kona, Hawaii, USA",-155.9966428,19.6472213,10/8/2016,40,384.0,61.0,,,,,,,,,,
"Juneau, Alaska, USA",-134.419734,58.3019496,8/7/2022,10,,,,,,,,,,,,
"Whistler, BC, Canada
",-122.9543022,50.1171903,7/29/2018,675,,,,,,,,,,,,
"Whistler, BC, Canada
",-122.9543022,50.1171903,7/29/2019,675,,,,,,,,,,,,
"Whistler/Pemberton, BC, Canada",-122.8432352,50.2918492,7/24/2016,487,,,,,,,,,,,,
"Whistler/Pemberton, BC, Canada",-122.8432352,50.2918492,7/30/2017,487,,,,,,,,,,,,
"Windsor, California, USA",-122.8163802,38.5471327,7/30/2016,35,,,,,,,,,,,,
"Santa Rosa, California",-122.7141049,38.4404925,5/12/2018,55,,,,,,,,,,,,
"Santa Rosa, California, USA",-122.7141049,38.4404925,5/11/2019,55,,,,,,,,,,,,
"Santa Rosa, California, USA",-122.7141049,38.4404925,7/29/2017,55,,,,,,,,,,,,
"Sacramento, California, USA",-121.493895,38.5810606,10/23/2022,20,,,,,,,,,,,,
"Lake Tahoe, California",-120.0503528,39.0885405,9/20/2015,1898,,,,,,,,,,,,
"Penticton, British Columbia, Canada",-119.593249,49.5003268,8/28/2022,347,,,,,,,,,,,,
"Los Cabos, Baja California, Mexico",-116.9855145,32.4445495,10/25/2015,320,578.0,74.0,,,,,,,,,,
"Los Cabos, Baja California, Mexico",-116.9855145,32.4445495,10/30/2016,320,578.0,74.0,,,,,,,,,,
"Los Cabos, Baja California, Mexico",-116.9855145,32.4445495,11/12/2017,320,578.0,74.0,,,,,,,,,,
"Coeur d'Alene, Idaho, USA",-116.7811531,47.6742994,6/25/2023,660,831.0,129.0,,,,,,,,,,
"Coeur d'Alene, Idaho, USA",-116.7811531,47.6742994,6/27/2021,660,831.0,129.0,,,,,,,,,,
